source_url,target_url,status
https://messymind.it/ricerca-felicita-autenticita-panini-notturni/,https://messymind.it/crescita-personale-antiguru/autoconsapevolezza-e-felicita/,301
https://messymind.it/scopo-motivazione-arte-del-no/,https://messymind.it/crescita-personale-antiguru/scopo-motivazione-arte-del-no/,301
https://messymind.it//come-ho-smesso-di-inseguire-il-tempo/,https://messymind.it/burnout-e-lavoro/come-ho-smesso-di-inseguire-il-tempo/,301
https://messymind.it/burnout-lavoro/autenticita-lavoro-guida-pratica/,https://messymind.it/burnout-e-lavoro/autenticita-e-lavoro/,301
https://messymind.it/cuore-vs-mente-manuale-antistronzi/,https://messymind.it/crescita-personale-antiguru/cuore-e-mente-in-armonia/,301
https://messymind.it/limiti-riduzionismo-vs-olismo-emergentismo/,https://messymind.it/filosofia-pratica/riduzionismo/,301
https://messymind.it/federico-faggin-qip-seita/,https://messymind.it/filosofia-pratica/federico-faggin-qip-seita/,301
https://messymind.it/costellazioni-familiari-sfogo-o-terapia/,https://messymind.it/filosofia-pratica/costellazioni/,301
https://messymind.it/paradosso-desiderio-yeti-palestra-alan-watts/,https://messymind.it/crescita-personale-antiguru/il-desiderio/,301
https://messymind.it/risveglio-interiore-successo-autentico-umorismo-esistenziale,https://messymind.it/crescita-personale-antiguru/il-risveglio-interiore/,301
https://messymind.it//fallire-arte-picasso-scivoloni/,https://messymind.it/crescita-personale-antiguru/fallimento-arte/,301
https://messymind.it//come-ritrovare-contatto-materia-oggetti-quotidiani/,https://messymind.it/mindfulness-ironica/come-ritrovare-contatto-materia-oggetti-quotidiani/,301
https://messymind.it/iniziare-male-migliorare/,https://messymind.it/crescita-personale-antiguru/iniziare-male-migliorare/,301
https://messymind.it/bias-cognitivi/,https://messymind.it/filosofia-pratica/bias-cognitivi/,301
https://messymind.it/mindfulness/vipassana-urbana/,https://messymind.it/mindfulness-ironica/vipassana-urbana/,301
https://messymind.it/libero-arbitrio-determinismo/,https://messymind.it/filosofia-pratica/libero-arbitrio/,301
https://messymind.it/come-meditare-senza-sedersi-a-gambe-incrociate/,https://messymind.it/mindfulness-ironica/come-meditare-senza-sedersi-a-gambe-incrociate/,301
https://messymind.it/equilibrio-interiore-5-mosse-pratiche/,https://messymind.it/mindfulness-ironica/la-felicita-non-è-un-linkedin-post/,301
https://messymind.it/spiritualita/risveglio-kundalini/,https://messymind.it/mindfulness-ironica/kundalini/,301
